feature,mean,std,min,max
RECENT_PAY_PAYMENT_DIFF_mean,15804.821809132894,163.81917913255305,15647.746213912964,15974.640308380127
AMT_CREDIT_LIMIT_ACTUAL_mean,15273.651998519897,901.8927817760629,14587.412899017334,16295.164880752563
CNT_DRAWINGS_CURRENT_mean,15233.919315338135,5326.111611451195,9118.038431167603,18852.632131576538
TOTALAREA_MODE,15197.092560450235,3339.4051623583377,12385.369018554688,18888.186241149902
CNT_INSTALMENT_FUTURE_max,14999.885739008585,6892.918670871232,8870.462781906128,22461.75066757202
EXT_SOURCE_1_SQUARED,14813.733208974203,1521.9863873464362,13124.628690719604,16078.567525863647
APPROVAL_RATE_IMPROVEMENT,14574.890975316366,2757.1630945737816,11899.431297302246,17407.072206497192
DOWN_PAYMENT_TREND,14566.967714945475,1636.5941589605393,13160.400402069092,16363.236612319946
PAYMENT_DIFF_std,14472.654080708822,3594.8455242558093,10466.126108169556,17415.978994369507
SK_DPD_DEF_mean_x,14292.17352104187,2220.270934588636,11732.558103561401,15697.995946884155
PAYMENT_DIFF_min,14049.091432571411,3135.6721808751954,10648.5594997406,16826.263595581055
WEEKDAY_APPR_PROCESS_START,13952.696321169535,1199.8958234799634,12930.40280532837,15273.7424325943
BUREAU_CLOSED_LOANS,13875.855726877848,1255.28031106588,12526.82518196106,15009.518144607544
CC_PAYMENT_DRAWING_RATIO,13798.196082750956,2130.9493940086977,12067.003396987915,16178.115453720093
APARTMENTS_MODE,13565.40588760376,1883.9865834302618,11441.399099349976,15034.658369064331
OLD_PAY_PAYMENT_DELAY_max,13472.351655960083,2396.8575486864443,10706.151382446289,14933.092914581299
CNT_INSTALMENT_max,13220.035585403442,2679.0599867382543,10437.793821334839,15782.356914520264
AMT_DRAWINGS_ATM_CURRENT_mean,13090.433440526327,422.0665489565237,12716.205894470215,13547.927463531494
DEF_30_CNT_SOCIAL_CIRCLE,12859.040469487509,3033.094455672653,10487.252508163452,16276.666597366333
APARTMENTS_AVG,12680.003336588541,1527.7020179124686,10916.44236946106,13597.32241821289
BUREAU_STATUS_C_RATIO,12289.796304066977,1845.4889183137868,10854.221717834473,14371.465393066406
CREDIT_ACTIVITY_SCORE,12104.236204147339,302.4242075466847,11755.046701431274,12282.058912277222
OLD_PAY_LATE_PAYMENT_mean,11932.787176767984,1634.4198809849406,10172.053712844849,13401.534397125244
BASEMENTAREA_MODE,11711.91700998942,2009.6302982411805,9646.522891998291,13660.705924987793
DEF_60_CNT_SOCIAL_CIRCLE,11701.721909840902,4632.661647994924,7397.799875259399,16604.818199157715
TOTAL_CREDIT_EXPERIENCE,11593.440825780233,2798.2385785805886,8563.1273021698,14079.699592590332
CNT_DRAWINGS_CURRENT_max,11471.523623784384,802.1970970562719,10615.686117172241,12206.324771881104
CC_RECENT_UTILIZATION_mean,11438.755281448364,4606.718228076537,6159.621639251709,14643.931352615356
YEARS_BEGINEXPLUATATION_MODE,11360.8983929952,526.5956497457379,10984.785692214966,11962.726909637451
YEARS_BEGINEXPLUATATION_AVG,11267.15223312378,1082.555335744339,10234.066120147705,12393.183490753174
NONLIVINGAREA_AVG,11263.762392044067,322.7962624366279,10895.810485839844,11499.274478912354
CC_UTILIZATION_TREND,11248.674383163452,1894.4134822562316,9397.109008789062,13183.2096118927
LANDAREA_MODE,11194.9477074941,1093.1486977772308,10009.16340637207,12162.554107666016
REGION_RATING_CLIENT_W_CITY,11117.752272923788,3402.7436361701048,7484.014781951904,14229.081577301025
LIVINGAREA_MODE,10947.055060068766,1959.352584888297,8684.58998298645,12079.46367073059
OLD_MONTHS_COUNT,10783.903521219889,2286.2604525906786,8241.67487335205,12671.29049873352
OLD_CREDIT_COUNT,10683.360205968222,1348.475911571887,9508.546321868896,12155.779315948486
BUREAU_STATUS_X_RATIO,10642.499294281006,3621.7536013481567,6653.725900650024,13725.170999526978
CC_PAYMENT_DRAWING_TREND,10331.216623942057,1350.2792572119497,8828.41586303711,11442.403715133667
APARTMENTS_MEDI,10281.230866750082,1632.2024105313367,8705.887697219849,11964.89638710022
YEARS_BEGINEXPLUATATION_MEDI,10226.642356236776,364.78002908781207,9917.047178268433,10628.780982971191
LANDAREA_AVG,10110.10625076294,2786.6274326119014,7076.474424362183,12555.954404830933
LIVINGAPARTMENTS_AVG,9971.504811604818,1447.0630413309457,8869.645000457764,11610.285884857178
LIVINGAREA_AVG,9892.043490091959,2571.0838178665877,7093.35608291626,12149.282056808472
LIVINGAREA_MEDI,9829.992287317911,2647.3332095923884,7140.867000579834,12433.45405960083
FLAG_WORK_PHONE,9664.397614796957,1269.0113743108436,8310.32349205017,10826.462841033936
MONTHS_BALANCE_min_x,9479.268923441568,936.0042470987981,8414.221004486084,10171.03687286377
BUREAU_BALANCE_MONTHS,9444.464922587076,791.5912681427585,8560.642585754395,10088.267877578735
COMMONAREA_MEDI,9289.906644185385,1387.6546949500384,7723.715003967285,10366.035503387451
CC_UTILIZATION_MAX,9264.678181966146,2724.8515553956354,6492.9296016693115,11940.076940536499
NONLIVINGAREA_MODE,9256.547588984171,1171.3905520961148,7904.181264877319,9954.749370574951
LANDAREA_MEDI,9252.233084996542,1951.1030235688313,7131.0304889678955,10970.236595153809
BASEMENTAREA_AVG,9135.712773005167,2083.261434340425,7678.1100025177,11521.778116226196
AMT_REQ_CREDIT_BUREAU_QRT,9135.272514343262,3605.3694030331717,5999.8196086883545,13074.78939628601
NONLIVINGAREA_MEDI,9129.079244613647,2136.7131042320366,7154.2153968811035,11397.322425842285
CREDIT_PER_INCOME,9091.1559715271,937.9053498770212,8055.419910430908,9883.07610321045
LIVINGAPARTMENTS_MODE,9003.78729057312,1254.3266807908883,7557.594776153564,9795.664581298828
LAST_3_PAYMENTS_LATE_RATE,8917.678001403809,4147.383461233223,5380.4229946136475,13482.134511947632
BUREAU_LOAN_COUNT,8875.403739372889,1712.6439740998399,6898.82400894165,9918.454986572266
LIVINGAPARTMENTS_MEDI,8814.274516423544,2400.7630731768136,6072.301071166992,10538.60180091858
BASEMENTAREA_MEDI,8801.05656750997,728.9539768863357,8028.097503662109,9476.109512329102
EXT_SOURCE_3_CUBED,8790.485052108765,950.1635709991156,7735.1780071258545,9578.054122924805
YEARS_BUILD_MODE,8757.263778209686,852.5797678829666,8256.769863128662,9741.6916680336
RECENT_PAY_PAYMENT_DIFF_min,8688.264747301737,1062.1908294458694,7552.364231109619,9656.89801120758
YEARS_BUILD_AVG,8624.96732966105,1765.2906203547655,6959.965412139893,10475.838277816772
RECENT_MONTHS_COUNT,8621.41120592753,2114.6019036928287,6519.05100440979,10748.04581451416
OWN_CAR_AGE_MISSING,8511.597625732422,919.3660257261537,7665.416217803955,9489.860967636108
MONTHS_BALANCE_min,8403.405902226767,2126.329290413555,5977.25559425354,9943.011703491211
APPROVAL_SUCCESS_RATE,8333.08957417806,2097.0206689688316,6331.71798324585,10514.190340042114
REG_CITY_NOT_LIVE_CITY,8181.1466185251875,1566.1351270589828,6941.8925132751465,9941.372716903687
COMMONAREA_MODE,8138.3150062561035,1847.8231813340424,7007.914215087891,10270.709087371826
OBS_60_CNT_SOCIAL_CIRCLE,7993.053711573283,231.34588398342544,7738.484519958496,8190.458297729492
COMMONAREA_AVG,7992.227255503337,2339.027918368433,5939.515584945679,10538.725419998169
